name,thumbnailUrl,rarity,team,position,pp,lp,diff,diff_p,sale,link
Amanda Nunes,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatwaveR2_07-21-22/Thumbnails/set_summer2022_amanda_nunes_74894_rare_thumbnail.png,Rare,UFC,,38.5,39.0,0.5,"(1.3,)",44.5,https://marketplace.draftkings.com/listings/collectibles/0a1f0bbe29e348b796b2e705a2f215f4/editions/193
Chuba Hubbard,https://marketplace.draftkings.com/_assets/Staging/2022-08-14_Prize_Master/Thumbnails/set_prizev12022_chuba_hubbard_560815_rare_thumbnail.png,Rare,CAR,RB,3.75,4.25,0.5,"(13.33,)",4.25,https://marketplace.draftkings.com/listings/collectibles/f6e616563b924b7ea0762d56b98ccb5a/editions/114
Donovan Peoples-Jones,https://marketplace.draftkings.com/_assets/Staging/NFL_Booster_Master/Thumbnails/set_Booster2022_donovan_peoples_jones_485611_cle_rare_thumbnail.png,Rare,CLE,WR,8.0,8.25,0.25,"(3.12,)",8.25,https://marketplace.draftkings.com/listings/collectibles/49575e55d32f4dfa9f8e9169cb9f56ca/editions/212
Javonte Williams,https://marketplace.draftkings.com/_assets/Staging/NFL_Starter_Master/Thumbnails/set_starter2022_javonte_williams_560593_den_core_thumbnail.png,Core,DEN,RB,0,0,0,"(None,)",,https://marketplace.draftkings.com/listings/collectibles/00de7c9ff3454bab9495f0ea8cc43609/editions/7719
Marvin Jones Jr.,https://marketplace.draftkings.com/_assets/Staging/NFL_Starter_Master/Thumbnails/set_starter2022_marvin_jones_jr_19306_jax_core_thumbnail.png,Core,JAX,WR,0,0,0,"(None,)",,https://marketplace.draftkings.com/listings/collectibles/02b54e0c430a4dd8bc4d41d270cf069d/editions/12831
Derek Carr,https://marketplace.draftkings.com/_assets/Staging/NFL_Starter_Master/Thumbnails/set_starter2022_derek_carr_12350_lv_core_thumbnail.png,Core,LV,QB,0,0,0,"(None,)",,https://marketplace.draftkings.com/listings/collectibles/41e901eff9014e64a80805e5623382ef/editions/22458
Tyree Jackson,https://marketplace.draftkings.com/_assets/Staging/NFL_Booster_Master/Thumbnails/set_Booster2022_tyree_jackson_11627_phi_core_thumbnail.png,Core,PHI,TE,1.0,1.0,0.0,"(0.0,)",1.0,https://marketplace.draftkings.com/listings/collectibles/6f90813907cd4c849c6684dbe36c5f3f/editions/202
Tyree Jackson,https://marketplace.draftkings.com/_assets/Staging/NFL_Booster_Master/Thumbnails/set_Booster2022_tyree_jackson_11627_phi_core_thumbnail.png,Core,PHI,TE,1.0,1.0,0.0,"(0.0,)",1.0,https://marketplace.draftkings.com/listings/collectibles/6f90813907cd4c849c6684dbe36c5f3f/editions/212
Micah Hyde,https://marketplace.draftkings.com/_assets/Staging/NFL_Starter_Master/Thumbnails/set_starter2022_micah_hyde_11605_buf_core_thumbnail.png,Core,BUF,DEF,0,0,0,"(None,)",,https://marketplace.draftkings.com/listings/collectibles/77d44a60089d4eda96ac3dea77935ed1/editions/10537
Marquez Valdes-Scantling,https://marketplace.draftkings.com/_assets/Staging/NFL_Starter_Master/Thumbnails/set_starter2022_marquez_valdes_scantling_19807_kc_core_thumbnail.png,Core,KC,WR,0,0,0,"(None,)",,https://marketplace.draftkings.com/listings/collectibles/4fdfc68dd6ad4b458af7316b9b8326c0/editions/6054
Christian Kirk,https://marketplace.draftkings.com/_assets/Staging/NFL_Starter_Master/Thumbnails/set_starter2022_christian_kirk_17873_jax_core_thumbnail.png,Core,JAX,WR,0,0,0,"(None,)",,https://marketplace.draftkings.com/listings/collectibles/2a339aae40bc493dabe9aad4fccfd612/editions/15104
Tyree Jackson,https://marketplace.draftkings.com/_assets/Staging/NFL_Booster_Master/Thumbnails/set_Booster2022_tyree_jackson_11627_phi_core_thumbnail.png,Core,PHI,TE,1.0,1.0,0.0,"(0.0,)",1.0,https://marketplace.draftkings.com/listings/collectibles/6f90813907cd4c849c6684dbe36c5f3f/editions/216
Brycen Hopkins,https://marketplace.draftkings.com/_assets/Staging/NFL_Booster_Master/Thumbnails/set_Booster2022_brycen_hopkins_485565_lar_core_thumbnail.png,Core,LAR,TE,1.0,1.0,0.0,"(0.0,)",1.0,https://marketplace.draftkings.com/listings/collectibles/5e5b12db6ab6400c8df679891a4473ed/editions/169
